filename,accent_group,speaker_type,true_transcript,true_intent,duration
england_015.mp3,England,native,don't give in to your fears said the alchemist in a strangely gentle voice,unknown,0
canadian_005.mp3,Canadian,native,just handling them made him feel better,unknown,0
england_016.mp3,England,native,in one he had read that many years ago a famous arabian alchemist had visited europe,unknown,0
england_017.mp3,England,native,i'd hate to have that many pins stuck in me,unknown,0
england_018.mp3,England,native,apparently it's the dumplings that make this stew taste so good,unknown,0
canadian_006.mp3,Canadian,native,and their eyes spoke of death,unknown,0
england_019.mp3,England,native,the alchemist is two hundred years old the englishman had told him,unknown,0
india_006.mp3,India,ESL,his hands began to tremble and the woman sensed it,unknown,0
canadian_007.mp3,Canadian,native,sadly my dream of becoming a squirrel whisperer may never happen,unknown,0
india_007.mp3,India,ESL,they were strange books,unknown,0
canadian_008.mp3,Canadian,native,then you taught me something of the universal language and the soul of the world,unknown,0
canadian_009.mp3,Canadian,native,i need you to be spontaneous he asked me out to din din,unknown,0
india_008.mp3,India,ESL,the cottage burned down,report_outage,0
canadian_010.mp3,Canadian,native,i should thank you,unknown,0
canadian_011.mp3,Canadian,native,the stranger placed his sword in its scabbard and the boy relaxed,unknown,0
india_009.mp3,India,ESL,another who was searching the boy's bags found the piece of gold,unknown,0
india_010.mp3,India,ESL,it was rising slowly and painfully out of the cylinder,unknown,0
india_011.mp3,India,ESL,i didn't find the blowdryer so i just used the vacuumcleaner,unknown,0
canadian_012.mp3,Canadian,native,what's all this mess,unknown,0
canadian_013.mp3,Canadian,native,is winged victory showing anywhere in one minute,unknown,0
canadian_014.mp3,Canadian,native,where was his horse,unknown,0
african_001.mp3,African,ESL,he decided to spend the night there,unknown,0
india_012.mp3,India,ESL,where do you live,unknown,0
canadian_015.mp3,Canadian,native,i should have been there,unknown,0
india_013.mp3,India,ESL,so he asked if the old man's blessing was still with him,unknown,0
canadian_016.mp3,Canadian,native,then he realized that he had been distracted for a few moments looking at the sword,unknown,0
india_014.mp3,India,ESL,he is going to transform himself into the wind just to demonstrate his powers,pay_bill,0
canadian_017.mp3,Canadian,native,it's a private club for only the most respectable people,unknown,0
india_015.mp3,India,ESL,are you sure this is claire,unknown,0
canadian_018.mp3,Canadian,native,go and speak to the tribal chieftains said the camel driver,unknown,0
canadian_019.mp3,Canadian,native,he's doing it because it's what he wants to do,unknown,0
india_016.mp3,India,ESL,if he abandons that pursuit it's because it wasn't truelove,unknown,0
african_002.mp3,African,ESL,the guy thought he was a lunatic at large and made an unsuccessful attempt to stop him,unknown,0
india_017.mp3,India,ESL,it's just that i never have,unknown,0
india_018.mp3,India,ESL,come on in here now,unknown,0
india_019.mp3,India,ESL,the ladder of the fire truck was not long enough,unknown,0
african_003.mp3,African,ESL,fatima appeared at the entrance to the tent,unknown,0
african_004.mp3,African,ESL,absolutely despicable that gingerbread men are forced to live in houses made of their own flesh,unknown,0
african_005.mp3,African,ESL,i'm going into the desert the man answered turning back to his reading,unknown,0
african_006.mp3,African,ESL,an huge hole had been made by the impact of the projectile,unknown,0
african_007.mp3,African,ESL,that he wanted to travel,unknown,0
african_008.mp3,African,ESL,there was a murmur from the crowd,unknown,0
african_009.mp3,African,ESL,but he kept quiet because he had heard what the alchemist said to the monk,unknown,0
african_010.mp3,African,ESL,with the girl with the raven hair his days would never be the same again,unknown,0
african_011.mp3,African,ESL,i have no information about troops or about the movement of the tribes,account_info,0
african_012.mp3,African,ESL,it was starlight and i explained the signs of the zodiac to her,unknown,0
african_013.mp3,African,ESL,the nearby city of ceuta had grown faster than tangier and business had fallen off,unknown,0
african_014.mp3,African,ESL,can i help you asked the man behind the window,unknown,0
african_015.mp3,African,ESL,yeah better if people are already familiar with one and are thinking of switching to the other,unknown,0
african_016.mp3,African,ESL,you came so that you could learn about your dreams said the old woman,unknown,0
african_017.mp3,African,ESL,even the guides spoke very little to one another,unknown,0
african_018.mp3,African,ESL,i gotta figure some way out of this thing,unknown,0
african_019.mp3,African,ESL,but we could sell tea in crystal glasses,unknown,0
